,,,Date,,Salesman GK,,Amount
"Jan 1, '23 - Jun 11, 26",,,,,,,
,,,04/06/2026,,10200,,"32,300.00"
,,,04/06/2026,,13320,,"124,170.00"
,,,04/06/2026,,4440,,"41,390.00"
,,,04/01/2026,,7301.77,,0.00
,,,04/01/2026,,"94,618.29",,"1,252,800.00"
,,,04/01/2026,,,,"7,500.00"
,,,04/01/2026,,,,"30,000.00"
,,,04/01/2026,,10717.66,,"3,000.00"
,,,04/01/2026,,1472,,"16,700.00"
,,,03/31/2026,,5660,,0.00
,,,03/31/2026,,2522.88,,0.00
,,,03/31/2026,,,,0.00
,,,03/31/2026,,1342,,"11,354.00"
,,,03/31/2026,,23692,,0.00
,,,03/31/2026,,14919.06,,0.00
,,,03/31/2026,,6695.26,,"48,208.00"
,,,03/31/2026,,8818,,"62,424.00"
,,,03/31/2026,,"23,035.28",,"248,431.96"
,,,03/31/2026,,,,"13,500.00"
,,,03/31/2026,,27393.19,,"419,258.00"
,,,03/31/2026,,,,"20,000.00"
,,,03/30/2026,,"197,479.52",,"2,723,626.50"
,,,03/30/2026,,1250,,"14,000.00"
,,,03/30/2026,,,,"3,000.00"
,,,03/30/2026,,10161.29,,"192,014.00"
,,,03/30/2026,,44257.39,,"819,241.00"
,,,03/30/2026,,,,"41,328.00"
,,,03/30/2026,,10895.38,,"117,651.49"
,,,03/30/2026,,8446.1,,"3,360.00"
,,,03/30/2026,,3000,,"45,000.00"
,,,03/30/2026,,106.440.69 (15%),,"708,480.00"
,,,03/30/2026,,"505,844.39",,"4,761,440.00"
,,,03/30/2026,,22210/1.7%,,"1,278,720.00"
,,,03/27/2026,,5555.18,,"44,585.00"
,,,03/27/2026,,17818.53/6%,,"293,288.00"
,,,03/27/2026,,,,"9,500.00"
,,,03/27/2026,,268,,"4,084.00"
,,,03/26/2026,,18,,380.00
,,,03/26/2026,,832,,"6,590.00"
,,,03/26/2026,,8325.5,,"104,750.00"
,,,03/26/2026,,3213,,"66,249.00"
,,,03/26/2026,,13224.68,,"126,035.00"
,,,03/26/2026,,"6,713.2",,"139,280.00"
,,,03/26/2026,,,,"3,420.00"
,,,03/26/2026,,520,,"10,920.00"
,,,03/26/2026,,9390,,0.00
,,,03/25/2026,,81505.22,,"1,217,210.00"
,,,03/25/2026,,403700 (11.29%),,"3,577,000.00"
,,,03/25/2026,,1660.9 (4.84%),,"34,347.90"
,,,03/25/2026,,4091,,"45,000.00"
,,,03/25/2026,,,,"1,200.00"
,,,03/25/2026,,,,"3,000.00"
,,,03/25/2026,,,,"28,000.00"
,,,03/25/2026,,10717.66,,"440,250.00"
,,,03/25/2026,,12530.64,,0.00
,,,03/25/2026,,,,0.00
,,,03/25/2026,,"24,593.19",,"452,784.00"
,,,03/25/2026,,,,"5,000.00"
,,,03/25/2026,,1094.08,,"16,144.00"
,,,03/24/2026,,60,,731.00
,,,03/24/2026,,14622.18,,"360,000.00"
,,,03/24/2026,,"7,884.99",,0.00
,,,03/24/2026,,,,0.00
,,,03/23/2026,,13340.43,,"446,000.00"
,,,03/23/2026,,,,"3,500.00"
,,,03/23/2026,,218,,"4,558.00"
,,,03/23/2026,,2801.42,,"22,405.00"
,,,03/23/2026,,,,"10,640.00"
,,,03/23/2026,,6708.23,,"114,500.00"
,,,03/19/2026,,873.84,,0.00
,,,03/19/2026,,1160,,"16,660.00"
,,,03/19/2026,,632,,"5,200.00"
,,,03/19/2026,,17345.26,,"232,230.00"
,,,03/19/2026,,,,"25,480.00"
,,,03/19/2026,,135015.07,,"1,836,421.00"
,,,03/19/2026,,,,"11,200.00"
,,,03/18/2026,,4243,,0.00
,,,03/18/2026,,143760,,"1,887,000.00"
,,,03/18/2026,,,,"30,000.00"
,,,03/18/2026,,6032.89,,"81,000.00"
,,,03/18/2026,,500,,"7,300.00"
,,,03/18/2026,,"12,978.8",,"75,405.00"
,,,03/18/2026,,13529.62 (9.11%),,"148,574.00"
,,,03/18/2026,,"84,855.50",,"2,913,288.30"
,,,03/18/2026,,,,"68,000.00"
